,Prefectures,Communes,Precincts,Ballots,Registered,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072
4309,BERAT,BERAT_PERONDI,3512,432,950,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,11,0,0,0,0,1,0,62,1,3,235,2,0,0,0,0,0,0,0,1,1,0,0,0,0,92,7,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1
4310,BERAT,BERAT_PERONDI,3513,408,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,27,1,3,265,0,0,1,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,BERAT,BERAT_PERONDI,3514,293,571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,1,1,52,5,2,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4312,BERAT,BERAT_PERONDI,35141,239,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,5,1,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
4313,BERAT,BERAT_KUCOVE,3515,217,607,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,44,1,1,106,1,1,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1
4314,BERAT,BERAT_KUCOVE,35151,213,530,0,0,1,0,3,1,0,0,1,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,34,1,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2
4315,BERAT,BERAT_KUCOVE,3516,490,1000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,2,1,0,0,0,0,0,159,1,1,226,1,0,1,0,0,0,0,0,0,0,0,0,0,0,81,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4316,BERAT,BERAT_KUCOVE,35161,342,695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,114,0,1,157,0,0,2,0,0,0,1,0,0,0,0,0,0,0,43,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4317,BERAT,BERAT_KUCOVE,3517,289,698,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,8,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4318,BERAT,BERAT_KUCOVE,35171,251,662,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,1,0,132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,15,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4
4319,BERAT,BERAT_KUCOVE,3518,209,523,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,50,0,2,96,0,0,2,0,0,0,0,1,0,0,0,0,0,0,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4320,BERAT,BERAT_KUCOVE,35181,218,500,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,39,0,1,114,0,0,0,0,0,1,0,0,2,2,1,0,0,0,37,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
4321,BERAT,BERAT_KUCOVE,3519,350,812,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,0,0,2,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,5,4
4322,BERAT,BERAT_KUCOVE,35191,381,821,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,0,0,212,0,0,0,0,0,0,0,0,0,1,0,0,0,1,76,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4323,BERAT,BERAT_KUCOVE,35192,172,418,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,0,1,92,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,3,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0
4324,BERAT,BERAT_KUCOVE,3520,403,880,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,86,0,0,204,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,10,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4325,BERAT,BERAT_KUCOVE,3521,353,692,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,3,178,0,0,0,0,0,0,0,0,1,1,1,0,0,0,63,11,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
4326,BERAT,BERAT_KUCOVE,3522,331,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,61,0,2,199,0,0,1,0,0,1,0,0,0,0,0,0,0,0,44,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,8
